"Var1"	"Var2"	"value"	"T"
"SND1"	"TARDBP"	0.300222797123227	NA
"TRA2A"	"IGF2BP2"	0.299814685110895	NA
"IGF2BP2"	"TRA2A"	0.299814685110895	NA
"IGF2BP1"	"FMR1"	0.2996376727994	NA
"FMR1"	"IGF2BP1"	0.2996376727994	NA
"YWHAG"	"LARP7"	0.299026300237782	NA
"LARP7"	"YWHAG"	0.299026300237782	NA
"TROVE2"	"HNRNPUL1"	0.298961699631916	NA
"HNRNPUL1"	"TROVE2"	0.298961699631916	NA
"LARP7"	"GNL3"	0.298847077878488	NA
"GNL3"	"LARP7"	0.298847077878488	NA
"FMR1"	"DDX3X"	0.298845285076852	NA
"DDX3X"	"FMR1"	0.298845285076852	NA
"YWHAG"	"NONO"	0.298836263579374	NA
"NONO"	"YWHAG"	0.298836263579374	NA
"TARDBP"	"FXR2"	0.298790449656095	NA
"FXR2"	"TARDBP"	0.298790449656095	NA
"TRA2A"	"LIN28B"	0.298491180880664	NA
"LIN28B"	"TRA2A"	0.298491180880664	NA
"FAM120A"	"CSTF2T"	0.298330348396535	NA
"CSTF2T"	"FAM120A"	0.298330348396535	NA
"YWHAG"	"SMNDC1"	0.298099738701077	NA
"SMNDC1"	"YWHAG"	0.298099738701077	NA
"LSM11"	"KHDRBS1"	0.297793025522166	NA
"KHDRBS1"	"LSM11"	0.297793025522166	NA
"SND1"	"PTBP1"	0.297762406636385	NA
"PTBP1"	"SND1"	0.297762406636385	NA
"SLTM"	"HNRNPUL1"	0.297707048692624	NA
"HNRNPUL1"	"SLTM"	0.297707048692624	NA
"NPM1"	"GTF2F1"	0.297615081745302	NA
"GTF2F1"	"NPM1"	0.297615081745302	NA
"RBM27"	"HNRNPUL1"	0.297224229217191	NA
"HNRNPUL1"	"RBM27"	0.297224229217191	NA
"KHDRBS1"	"HNRNPUL1"	0.297087575463475	NA
"HNRNPUL1"	"KHDRBS1"	0.297087575463475	NA
"ILF3"	"GTF2F1"	0.297073815827369	NA
"GTF2F1"	"ILF3"	0.297073815827369	NA
"HNRNPUL1"	"HNRNPA1"	0.296828779020552	NA
"HNRNPA1"	"HNRNPUL1"	0.296828779020552	"TRUE"
"TNRC6A"	"IGF2BP1"	0.296651357947377	NA
"IGF2BP1"	"TNRC6A"	0.296651357947377	NA
"FAM120A"	"DGCR8"	0.296625358425865	NA
"DGCR8"	"FAM120A"	0.296625358425865	NA
"LSM11"	"CPSF6"	0.296466888969855	NA
"CPSF6"	"LSM11"	0.296466888969855	NA
"LSM11"	"CSTF2T"	0.296266655967195	NA
"CSTF2T"	"LSM11"	0.296266655967195	NA
"FMR1"	"CPSF6"	0.296150545574752	NA
