"Var1"	"Var2"	"value"
"SMNDC1_exon"	"DGCR8_exon"	0.266033179147262
"SND1_exon"	"DGCR8_exon"	0.306270617156127
"SRSF1_exon"	"DGCR8_exon"	0.222878003337278
"TAF15_exon"	"DGCR8_exon"	0.255770784685174
"TARDBP_exon"	"DGCR8_exon"	0.265872932365372
"TNRC6A_exon"	"DGCR8_exon"	0.341353081665463
"TRA2A_exon"	"DGCR8_exon"	0.251462961983521
"TROVE2_exon"	"DGCR8_exon"	0.328841291732861
"U2AF1_exon"	"DGCR8_exon"	0.188558234571889
"U2AF2_exon"	"DGCR8_exon"	0.135901185640859
"XRN2_exon"	"DGCR8_exon"	0.267570217884476
"YWHAG_exon"	"DGCR8_exon"	0.345063690825259
"AUH_exon"	"EIF4G2_exon"	0.292111216991955
"CPSF6_exon"	"EIF4G2_exon"	0.430639498494374
"CSTF2T_exon"	"EIF4G2_exon"	0.285459881425576
"DDX3X_exon"	"EIF4G2_exon"	0.280998350234178
"DDX42_exon"	"EIF4G2_exon"	0.317743252576295
"DGCR8_exon"	"EIF4G2_exon"	0.302781502271529
"EIF4G2_exon"	"EIF4G2_exon"	1
"FAM120A_exon"	"EIF4G2_exon"	0.334222901948762
"FMR1_exon"	"EIF4G2_exon"	0.387696114414109
"FXR1_exon"	"EIF4G2_exon"	0.337838957898206
"FXR2_exon"	"EIF4G2_exon"	0.394817809848181
"GNL3_exon"	"EIF4G2_exon"	0.350971063469083
"GTF2F1_exon"	"EIF4G2_exon"	0.346630413569357
"HNRNPA1_exon"	"EIF4G2_exon"	0.265336858660776
"HNRNPK_exon"	"EIF4G2_exon"	0.159560696132708
"HNRNPM_exon"	"EIF4G2_exon"	0.24878596205475
"HNRNPU_exon"	"EIF4G2_exon"	0.238712892707433
"HNRNPUL1_exon"	"EIF4G2_exon"	0.264527575090995
"IGF2BP1_exon"	"EIF4G2_exon"	0.266089110845124
"IGF2BP2_exon"	"EIF4G2_exon"	0.32472534565231
"ILF3_exon"	"EIF4G2_exon"	0.217623648372219
"KHDRBS1_exon"	"EIF4G2_exon"	0.231910282442653
"KHSRP_exon"	"EIF4G2_exon"	0.11364197495459
"LARP7_exon"	"EIF4G2_exon"	0.298819273881639
"LIN28B_exon"	"EIF4G2_exon"	0.270552198534389
"LSM11_exon"	"EIF4G2_exon"	0.280232145802333
"NONO_exon"	"EIF4G2_exon"	0.257737084951283
"NPM1_exon"	"EIF4G2_exon"	0.34525838016203
"PRPF8_exon"	"EIF4G2_exon"	0.175271196488082
"PTBP1_exon"	"EIF4G2_exon"	0.376057946518279
"RBM22_exon"	"EIF4G2_exon"	0.241868074346527
"RBM27_exon"	"EIF4G2_exon"	0.332992380809083
"SAFB2_exon"	"EIF4G2_exon"	0.272433311141525
"SBDS_exon"	"EIF4G2_exon"	0.322006284585373
"SLBP_exon"	"EIF4G2_exon"	0.229156714846917
"SLTM_exon"	"EIF4G2_exon"	0.42307264076713
"SMNDC1_exon"	"EIF4G2_exon"	0.294402211258301
"SND1_exon"	"EIF4G2_exon"	0.318714730598478
"SRSF1_exon"	"EIF4G2_exon"	0.349086833631855
"TAF15_exon"	"EIF4G2_exon"	0.290455258565237
"TARDBP_exon"	"EIF4G2_exon"	0.40942328193075
"TNRC6A_exon"	"EIF4G2_exon"	0.369529678661541
"TRA2A_exon"	"EIF4G2_exon"	0.445985004570521
"TROVE2_exon"	"EIF4G2_exon"	0.28303799571214
"U2AF1_exon"	"EIF4G2_exon"	0.216614565978264
"U2AF2_exon"	"EIF4G2_exon"	0.141977562924406
"XRN2_exon"	"EIF4G2_exon"	0.337753890628199
"YWHAG_exon"	"EIF4G2_exon"	0.405593404366788
"AUH_exon"	"FAM120A_exon"	0.205860882591755
"CPSF6_exon"	"FAM120A_exon"	0.309183777941563
"CSTF2T_exon"	"FAM120A_exon"	0.281168445046362
"DDX3X_exon"	"FAM120A_exon"	0.236485608217096
"DDX42_exon"	"FAM120A_exon"	0.251822360727802
"DGCR8_exon"	"FAM120A_exon"	0.283572521555958
"EIF4G2_exon"	"FAM120A_exon"	0.334222901948762
"FAM120A_exon"	"FAM120A_exon"	1
"FMR1_exon"	"FAM120A_exon"	0.295157729064391
"FXR1_exon"	"FAM120A_exon"	0.333743639866587
"FXR2_exon"	"FAM120A_exon"	0.318133861000233
"GNL3_exon"	"FAM120A_exon"	0.302857011526875
"GTF2F1_exon"	"FAM120A_exon"	0.314755849973233
"HNRNPA1_exon"	"FAM120A_exon"	0.238575912818061
"HNRNPK_exon"	"FAM120A_exon"	0.169076184949833
"HNRNPM_exon"	"FAM120A_exon"	0.215247277448056
"HNRNPU_exon"	"FAM120A_exon"	0.266231060393031
"HNRNPUL1_exon"	"FAM120A_exon"	0.267271649426696
"IGF2BP1_exon"	"FAM120A_exon"	0.328408167086714
"IGF2BP2_exon"	"FAM120A_exon"	0.333956552899517
"ILF3_exon"	"FAM120A_exon"	0.261653519564792
"KHDRBS1_exon"	"FAM120A_exon"	0.262669135207743
"KHSRP_exon"	"FAM120A_exon"	0.120962231008545
"LARP7_exon"	"FAM120A_exon"	0.238629739696829
"LIN28B_exon"	"FAM120A_exon"	0.282083460485789
"LSM11_exon"	"FAM120A_exon"	0.303411462147748
"NONO_exon"	"FAM120A_exon"	0.252384104381132
"NPM1_exon"	"FAM120A_exon"	0.282784116727989
"PRPF8_exon"	"FAM120A_exon"	0.165044352970466
"PTBP1_exon"	"FAM120A_exon"	0.269701245643825
"RBM22_exon"	"FAM120A_exon"	0.239312180055396
"RBM27_exon"	"FAM120A_exon"	0.323007839750941
"SAFB2_exon"	"FAM120A_exon"	0.26886811504606
"SBDS_exon"	"FAM120A_exon"	0.274805665281652
"SLBP_exon"	"FAM120A_exon"	0.198420799727032
"SLTM_exon"	"FAM120A_exon"	0.313894901785887
"SMNDC1_exon"	"FAM120A_exon"	0.258143493189897
"SND1_exon"	"FAM120A_exon"	0.307843715971414
"SRSF1_exon"	"FAM120A_exon"	0.240633092847163
"TAF15_exon"	"FAM120A_exon"	0.27844005351166
"TARDBP_exon"	"FAM120A_exon"	0.27384758877404
"TNRC6A_exon"	"FAM120A_exon"	0.328196339351743
"TRA2A_exon"	"FAM120A_exon"	0.272399770178436
"TROVE2_exon"	"FAM120A_exon"	0.302162859560476
"U2AF1_exon"	"FAM120A_exon"	0.1795379117828
"U2AF2_exon"	"FAM120A_exon"	0.13806481170146
"XRN2_exon"	"FAM120A_exon"	0.251912876472608
"YWHAG_exon"	"FAM120A_exon"	0.341008191069997
"AUH_exon"	"FMR1_exon"	0.251210953068018
"CPSF6_exon"	"FMR1_exon"	0.299146072331292
"CSTF2T_exon"	"FMR1_exon"	0.201682474155644
"DDX3X_exon"	"FMR1_exon"	0.299387197123766
"DDX42_exon"	"FMR1_exon"	0.264463181468714
"DGCR8_exon"	"FMR1_exon"	0.261715627430531
"EIF4G2_exon"	"FMR1_exon"	0.387696114414109
"FAM120A_exon"	"FMR1_exon"	0.295157729064391
"FMR1_exon"	"FMR1_exon"	1
